"","final.image.url","image.name"
"176","https://images.eap.bl.uk/EAP727/EAP727_1_19/9.jp2/info.json","EAP727_1_19/9"
"177","https://images.eap.bl.uk/EAP727/EAP727_1_19/10.jp2/info.json","EAP727_1_19/10"
"178","https://images.eap.bl.uk/EAP727/EAP727_1_19/11.jp2/info.json","EAP727_1_19/11"
"179","https://images.eap.bl.uk/EAP727/EAP727_1_19/12.jp2/info.json","EAP727_1_19/12"
"180","https://images.eap.bl.uk/EAP727/EAP727_1_19/13.jp2/info.json","EAP727_1_19/13"
"181","https://images.eap.bl.uk/EAP727/EAP727_1_19/14.jp2/info.json","EAP727_1_19/14"
"182","https://images.eap.bl.uk/EAP727/EAP727_1_19/15.jp2/info.json","EAP727_1_19/15"
"183","https://images.eap.bl.uk/EAP727/EAP727_1_19/16.jp2/info.json","EAP727_1_19/16"
"184","https://images.eap.bl.uk/EAP727/EAP727_1_19/17.jp2/info.json","EAP727_1_19/17"
"185","https://images.eap.bl.uk/EAP727/EAP727_1_19/18.jp2/info.json","EAP727_1_19/18"
"186","https://images.eap.bl.uk/EAP727/EAP727_1_19/19.jp2/info.json","EAP727_1_19/19"
"187","https://images.eap.bl.uk/EAP727/EAP727_1_19/20.jp2/info.json","EAP727_1_19/20"
"188","https://images.eap.bl.uk/EAP727/EAP727_1_19/21.jp2/info.json","EAP727_1_19/21"
"189","https://images.eap.bl.uk/EAP727/EAP727_1_19/22.jp2/info.json","EAP727_1_19/22"
"190","https://images.eap.bl.uk/EAP727/EAP727_1_19/23.jp2/info.json","EAP727_1_19/23"
"191","https://images.eap.bl.uk/EAP727/EAP727_1_19/24.jp2/info.json","EAP727_1_19/24"
"192","https://images.eap.bl.uk/EAP727/EAP727_1_19/25.jp2/info.json","EAP727_1_19/25"
"193","https://images.eap.bl.uk/EAP727/EAP727_1_19/26.jp2/info.json","EAP727_1_19/26"
"194","https://images.eap.bl.uk/EAP727/EAP727_1_19/27.jp2/info.json","EAP727_1_19/27"
"195","https://images.eap.bl.uk/EAP727/EAP727_1_19/28.jp2/info.json","EAP727_1_19/28"
"196","https://images.eap.bl.uk/EAP727/EAP727_1_19/29.jp2/info.json","EAP727_1_19/29"
"197","https://images.eap.bl.uk/EAP727/EAP727_1_19/30.jp2/info.json","EAP727_1_19/30"
"198","https://images.eap.bl.uk/EAP727/EAP727_1_19/31.jp2/info.json","EAP727_1_19/31"
"199","https://images.eap.bl.uk/EAP727/EAP727_1_19/32.jp2/info.json","EAP727_1_19/32"
"200","https://images.eap.bl.uk/EAP727/EAP727_1_19/33.jp2/info.json","EAP727_1_19/33"
"201","https://images.eap.bl.uk/EAP727/EAP727_1_19/34.jp2/info.json","EAP727_1_19/34"
"202","https://images.eap.bl.uk/EAP727/EAP727_1_19/35.jp2/info.json","EAP727_1_19/35"
"203","https://images.eap.bl.uk/EAP727/EAP727_1_19/36.jp2/info.json","EAP727_1_19/36"
"204","https://images.eap.bl.uk/EAP727/EAP727_1_20/1.jp2/info.json","EAP727_1_20/1"
"205","https://images.eap.bl.uk/EAP727/EAP727_1_20/2.jp2/info.json","EAP727_1_20/2"
"206","https://images.eap.bl.uk/EAP727/EAP727_1_20/3.jp2/info.json","EAP727_1_20/3"
"207","https://images.eap.bl.uk/EAP727/EAP727_1_20/4.jp2/info.json","EAP727_1_20/4"
"208","https://images.eap.bl.uk/EAP727/EAP727_1_20/5.jp2/info.json","EAP727_1_20/5"
"209","https://images.eap.bl.uk/EAP727/EAP727_1_20/6.jp2/info.json","EAP727_1_20/6"
"210","https://images.eap.bl.uk/EAP727/EAP727_1_20/7.jp2/info.json","EAP727_1_20/7"
"211","https://images.eap.bl.uk/EAP727/EAP727_1_20/8.jp2/info.json","EAP727_1_20/8"
"212","https://images.eap.bl.uk/EAP727/EAP727_1_20/9.jp2/info.json","EAP727_1_20/9"
"213","https://images.eap.bl.uk/EAP727/EAP727_1_20/10.jp2/info.json","EAP727_1_20/10"
"214","https://images.eap.bl.uk/EAP727/EAP727_1_21/1.jp2/info.json","EAP727_1_21/1"
"215","https://images.eap.bl.uk/EAP727/EAP727_1_21/2.jp2/info.json","EAP727_1_21/2"
"216","https://images.eap.bl.uk/EAP727/EAP727_1_21/3.jp2/info.json","EAP727_1_21/3"
"217","https://images.eap.bl.uk/EAP727/EAP727_1_21/4.jp2/info.json","EAP727_1_21/4"
"218","https://images.eap.bl.uk/EAP727/EAP727_1_23/1.jp2/info.json","EAP727_1_23/1"
"219","https://images.eap.bl.uk/EAP727/EAP727_1_23/2.jp2/info.json","EAP727_1_23/2"
"220","https://images.eap.bl.uk/EAP727/EAP727_1_23/3.jp2/info.json","EAP727_1_23/3"
"221","https://images.eap.bl.uk/EAP727/EAP727_1_23/4.jp2/info.json","EAP727_1_23/4"
"222","https://images.eap.bl.uk/EAP727/EAP727_1_23/5.jp2/info.json","EAP727_1_23/5"
"223","https://images.eap.bl.uk/EAP727/EAP727_1_23/6.jp2/info.json","EAP727_1_23/6"
"224","https://images.eap.bl.uk/EAP727/EAP727_1_23/7.jp2/info.json","EAP727_1_23/7"
"225","https://images.eap.bl.uk/EAP727/EAP727_1_23/8.jp2/info.json","EAP727_1_23/8"
"226","https://images.eap.bl.uk/EAP727/EAP727_1_24/1.jp2/info.json","EAP727_1_24/1"
"227","https://images.eap.bl.uk/EAP727/EAP727_1_24/2.jp2/info.json","EAP727_1_24/2"
"228","https://images.eap.bl.uk/EAP727/EAP727_1_24/3.jp2/info.json","EAP727_1_24/3"
"229","https://images.eap.bl.uk/EAP727/EAP727_1_24/4.jp2/info.json","EAP727_1_24/4"
"230","https://images.eap.bl.uk/EAP727/EAP727_1_24/5.jp2/info.json","EAP727_1_24/5"
"231","https://images.eap.bl.uk/EAP727/EAP727_1_24/6.jp2/info.json","EAP727_1_24/6"
"232","https://images.eap.bl.uk/EAP727/EAP727_1_24/7.jp2/info.json","EAP727_1_24/7"
"233","https://images.eap.bl.uk/EAP727/EAP727_1_24/8.jp2/info.json","EAP727_1_24/8"
"234","https://images.eap.bl.uk/EAP727/EAP727_1_24/9.jp2/info.json","EAP727_1_24/9"
"235","https://images.eap.bl.uk/EAP727/EAP727_1_24/10.jp2/info.json","EAP727_1_24/10"
"236","https://images.eap.bl.uk/EAP727/EAP727_1_24/11.jp2/info.json","EAP727_1_24/11"
"237","https://images.eap.bl.uk/EAP727/EAP727_1_24/12.jp2/info.json","EAP727_1_24/12"
"238","https://images.eap.bl.uk/EAP727/EAP727_1_24/13.jp2/info.json","EAP727_1_24/13"
"239","https://images.eap.bl.uk/EAP727/EAP727_1_24/14.jp2/info.json","EAP727_1_24/14"
"240","https://images.eap.bl.uk/EAP727/EAP727_1_24/15.jp2/info.json","EAP727_1_24/15"
"241","https://images.eap.bl.uk/EAP727/EAP727_1_24/16.jp2/info.json","EAP727_1_24/16"
"242","https://images.eap.bl.uk/EAP727/EAP727_1_26/1.jp2/info.json","EAP727_1_26/1"
"243","https://images.eap.bl.uk/EAP727/EAP727_1_26/2.jp2/info.json","EAP727_1_26/2"
"244","https://images.eap.bl.uk/EAP727/EAP727_1_26/3.jp2/info.json","EAP727_1_26/3"
"245","https://images.eap.bl.uk/EAP727/EAP727_1_26/4.jp2/info.json","EAP727_1_26/4"
"246","https://images.eap.bl.uk/EAP727/EAP727_1_27/1.jp2/info.json","EAP727_1_27/1"
"247","https://images.eap.bl.uk/EAP727/EAP727_1_27/2.jp2/info.json","EAP727_1_27/2"
"248","https://images.eap.bl.uk/EAP727/EAP727_1_27/3.jp2/info.json","EAP727_1_27/3"
