"","Page Title","Description","Reference","Extent","Content Type","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"4402","Anna [26 Sep 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/9/316","6 TIFF images","Periodical","File","Tamil","Tamil","26 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_316/1.jp2/full/!600,300/0/default.jpg"
"4403","Anna [27 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/317","4 TIFF images","Periodical","File","Tamil","Tamil","27 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_317/1.jp2/full/!600,300/0/default.jpg"
"4404","Anna [28 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/318","4 TIFF images","Periodical","File","Tamil","Tamil","28 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_318/1.jp2/full/!600,300/0/default.jpg"
"4405","Anna [29 Sep 1985]","

        

                  
            
              
              View images from this file (8)
            
          
              ","EAP372/6/23/9/319","8 TIFF images","Periodical","File","Tamil","Tamil","29 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_319/1.jp2/full/!600,300/0/default.jpg"
"4406","Anna [30 Sep 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/320","4 TIFF images","Periodical","File","Tamil","Tamil","30 Sep 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_320/1.jp2/full/!600,300/0/default.jpg"
"4407","Anna [1 Oct 1985]","

        

                  
            
              
              View images from this file (8)
            
          
              ","EAP372/6/23/9/321","8 TIFF images","Periodical","File","Tamil","Tamil","01 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_321/1.jp2/full/!600,300/0/default.jpg"
"4408","Anna [3 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/322","4 TIFF images","Periodical","File","Tamil","Tamil","03 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_322/1.jp2/full/!600,300/0/default.jpg"
"4409","Anna [4 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/323","4 TIFF images","Periodical","File","Tamil","Tamil","04 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_323/1.jp2/full/!600,300/0/default.jpg"
"4410","Anna [5 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/324","4 TIFF images","Periodical","File","Tamil","Tamil","05 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_324/1.jp2/full/!600,300/0/default.jpg"
"4411","Anna [6 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/325","4 TIFF images","Periodical","File","Tamil","Tamil","06 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_325/1.jp2/full/!600,300/0/default.jpg"
"4412","Anna [7 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/326","4 TIFF images","Periodical","File","Tamil","Tamil","07 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_326/1.jp2/full/!600,300/0/default.jpg"
"4413","Anna [8 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/327","4 TIFF images","Periodical","File","Tamil","Tamil","08 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_327/1.jp2/full/!600,300/0/default.jpg"
"4414","Anna [9 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/328","4 TIFF images","Periodical","File","Tamil","Tamil","09 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_328/1.jp2/full/!600,300/0/default.jpg"
"4415","Anna [10 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/329","4 TIFF images","Periodical","File","Tamil","Tamil","10 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_329/1.jp2/full/!600,300/0/default.jpg"
"4416","Anna [11 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/330","4 TIFF images","Periodical","File","Tamil","Tamil","11 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_330/1.jp2/full/!600,300/0/default.jpg"
"4417","Anna [12 Oct 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/9/331","6 TIFF images","Periodical","File","Tamil","Tamil","12 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_331/1.jp2/full/!600,300/0/default.jpg"
"4418","Anna [13 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/332","4 TIFF images","Periodical","File","Tamil","Tamil","13 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_332/1.jp2/full/!600,300/0/default.jpg"
"4419","Anna [14 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/9/333","4 TIFF images","Periodical","File","Tamil","Tamil","14 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_333/1.jp2/full/!600,300/0/default.jpg"
"4420","Anna [15 Oct 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/9/334","6 TIFF images","Periodical","File","Tamil","Tamil","15 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_9_334/1.jp2/full/!600,300/0/default.jpg"
"4421","Anna [16 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/1","4 TIFF images","Periodical","File","Tamil","Tamil","16 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_1/1.jp2/full/!600,300/0/default.jpg"
"4422","Anna [17 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/2","4 TIFF images","Periodical","File","Tamil","Tamil","17 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_2/1.jp2/full/!600,300/0/default.jpg"
"4423","Anna [18 Oct 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/10/3","6 TIFF images","Periodical","File","Tamil","Tamil","18 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_3/1.jp2/full/!600,300/0/default.jpg"
"4424","Anna [19 Oct 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/10/4","6 TIFF images","Periodical","File","Tamil","Tamil","19 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_4/1.jp2/full/!600,300/0/default.jpg"
"4425","Anna [20 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/5","4 TIFF images","Periodical","File","Tamil","Tamil","20 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_5/1.jp2/full/!600,300/0/default.jpg"
"4426","Anna [21 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/6","4 TIFF images","Periodical","File","Tamil","Tamil","21 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_6/1.jp2/full/!600,300/0/default.jpg"
"4427","Anna [23 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/7","4 TIFF images","Periodical","File","Tamil","Tamil","23 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_7/1.jp2/full/!600,300/0/default.jpg"
"4428","Anna [24 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/8","4 TIFF images","Periodical","File","Tamil","Tamil","24 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_8/1.jp2/full/!600,300/0/default.jpg"
"4429","Anna [25 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/9","4 TIFF images","Periodical","File","Tamil","Tamil","25 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_9/1.jp2/full/!600,300/0/default.jpg"
"4430","Anna [26 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/10","4 TIFF images","Periodical","File","Tamil","Tamil","26 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_10/1.jp2/full/!600,300/0/default.jpg"
"4431","Anna [27 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/11","4 TIFF images","Periodical","File","Tamil","Tamil","27 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_11/1.jp2/full/!600,300/0/default.jpg"
"4432","Anna [28 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/12","4 TIFF images","Periodical","File","Tamil","Tamil","28 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_12/1.jp2/full/!600,300/0/default.jpg"
"4433","Anna [29 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/13","4 TIFF images","Periodical","File","Tamil","Tamil","29 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_13/1.jp2/full/!600,300/0/default.jpg"
"4434","Anna [30 Oct 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/10/14","6 TIFF images","Periodical","File","Tamil","Tamil","30 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_14/1.jp2/full/!600,300/0/default.jpg"
"4435","Anna [31 Oct 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/15","4 TIFF images","Periodical","File","Tamil","Tamil","31 Oct 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_15/1.jp2/full/!600,300/0/default.jpg"
"4436","Anna [1 Nov 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/10/16","6 TIFF images","Periodical","File","Tamil","Tamil","01 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_16/1.jp2/full/!600,300/0/default.jpg"
"4437","Anna [2 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/17","4 TIFF images","Periodical","File","Tamil","Tamil","02 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_17/1.jp2/full/!600,300/0/default.jpg"
"4438","Anna [3 Nov 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/10/18","6 TIFF images","Periodical","File","Tamil","Tamil","03 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_18/1.jp2/full/!600,300/0/default.jpg"
"4439","Anna [4 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/19","4 TIFF images","Periodical","File","Tamil","Tamil","04 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_19/1.jp2/full/!600,300/0/default.jpg"
"4440","Anna [5 Nov 1985]","

        

                  
            
              
              View images from this file (6)
            
          
              ","EAP372/6/23/10/20","6 TIFF images","Periodical","File","Tamil","Tamil","05 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_20/1.jp2/full/!600,300/0/default.jpg"
"4441","Anna [6 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/21","4 TIFF images","Periodical","File","Tamil","Tamil","06 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_21/1.jp2/full/!600,300/0/default.jpg"
"4442","Anna [7 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/22","4 TIFF images","Periodical","File","Tamil","Tamil","07 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_22/1.jp2/full/!600,300/0/default.jpg"
"4443","Anna [8 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/23","4 TIFF images","Periodical","File","Tamil","Tamil","08 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_23/1.jp2/full/!600,300/0/default.jpg"
"4444","Anna [9 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/24","4 TIFF images","Periodical","File","Tamil","Tamil","09 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_24/1.jp2/full/!600,300/0/default.jpg"
"4445","Anna [10 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/25","4 TIFF images","Periodical","File","Tamil","Tamil","10 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_25/1.jp2/full/!600,300/0/default.jpg"
"4446","Anna [14 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/26","4 TIFF images","Periodical","File","Tamil","Tamil","14 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_26/1.jp2/full/!600,300/0/default.jpg"
"4447","Anna [15 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/27","4 TIFF images","Periodical","File","Tamil","Tamil","15 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_27/1.jp2/full/!600,300/0/default.jpg"
"4448","Anna [16 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/28","4 TIFF images","Periodical","File","Tamil","Tamil","16 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_28/1.jp2/full/!600,300/0/default.jpg"
"4449","Anna [17 Nov 1985]","

        

                  
            
              
              View images from this file (4)
            
          
              ","EAP372/6/23/10/29","4 TIFF images","Periodical","File","Tamil","Tamil","17 Nov 1985","Access is for research purposes only","https://images.eap.bl.uk/EAP372/EAP372_6_23_10_29/1.jp2/full/!600,300/0/default.jpg"
