"","Page Title","Description","Reference","Extent","Level","Languages","Scripts","Creation date","Legal","ImgSrc"
"827","Gr̥Hiṇi Dharma Prakaraṇaṁ","

        General. 1 Printed Book. Original reference number: 11655.

                  
            
              
              View images from this file (120)
            
          
              ","EAP673/1/827","120 TIFF images","File","Kannada","Kannada","1898","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_827/1.jp2/full/!600,300/0/default.jpg"
"828","Karnāṭa Konmatta Rāghavaṁ","

        General. 1 Printed Book. Original reference number: 11658.

                  
            
              
              View images from this file (30)
            
          
              ","EAP673/1/828","30 TIFF images","File","Kannada","Kannada","1908","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_828/1.jp2/full/!600,300/0/default.jpg"
"829","Vanaspati Varga","

        General. 1 Printed Book. Original reference number: 11659.

                  
            
              
              View images from this file (140)
            
          
              ","EAP673/1/829","140 TIFF images","File","Kannada","Kannada","1902","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_829/1.jp2/full/!600,300/0/default.jpg"
"830","Kannaḍa Nibhanda Ratnāvaḷi","

        Literature. 1 Printed Book. Original reference number: 11663.

                  
            
              
              View images from this file (284)
            
          
              ","EAP673/1/830","284 TIFF images","File","Kannada","Kannada","1915","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_830/1.jp2/full/!600,300/0/default.jpg"
"831","Nītisāra Bhāga 3","

        Literature. 1 Printed Book. Original reference number: 11666.

                  
            
              
              View images from this file (236)
            
          
              ","EAP673/1/831","236 TIFF images","File","Kannada","Kannada","1920","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_831/1.jp2/full/!600,300/0/default.jpg"
"832","Jayaśaṅkara Mahādēva Prabhuliṅga Līleyu","

        Literature. 1 Printed Book. Original reference number: 11671.

                  
            
              
              View images from this file (152)
            
          
              ","EAP673/1/832","152 TIFF images","File","Kannada","Kannada","1893","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_832/1.jp2/full/!600,300/0/default.jpg"
"833","Citracaritre","

        Literature. 1 Printed Book. Original reference number: 11681.

                  
            
              
              View images from this file (48)
            
          
              ","EAP673/1/833","48 TIFF images","File","Kannada","Kannada","1913","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_833/1.jp2/full/!600,300/0/default.jpg"
"834","Satyavēdavu","

        Chirstian Literature. 1 Printed Book. Original reference number: 11696.

                  
            
              
              View images from this file (1326)
            
          
              ","EAP673/1/834","1326 TIFF images","File","Kannada","Kannada","1922","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_834/1.jp2/full/!600,300/0/default.jpg"
"835","Candraprabha","

        Literature. 1 Printed Book. Original reference number: 11699.

                  
            
              
              View images from this file (202)
            
          
              ","EAP673/1/835","202 TIFF images","File","Kannada","Kannada","1896","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_835/1.jp2/full/!600,300/0/default.jpg"
"836","Sōmēśvara Śatakavu","

        Literature. 1 Printed Book. Original reference number: 11707.

                  
            
              
              View images from this file (20)
            
          
              ","EAP673/1/836","20 TIFF images","File","Kannada","Kannada","1921","Access is for research purposes only.","https://images.eap.bl.uk/EAP673/EAP673_1_836/1.jp2/full/!600,300/0/default.jpg"
