"","Page Title","Description","Reference","Extent","Content Type","Level","Creation date","Legal","ImgSrc"
"77","Images of monasteries once standing in Ulaanbaatar and religious rituals taking place in Ulaanbaatar and its proximity [1930s]","        Images of monasteries once standing in Ulaanbaatar and religious rituals taking place in Ulaanbaatar and its proximity.                                                          View images from this file (185)                                    ","EAP264/1/9/6","184 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_9_6/1.jp2/full/!600,300/0/default.jpg"
"78","Images of religious Tsam dance performed in monasteries in Ulaanbaatar and in Manzushir monastery in Tuv province [1930s]","        Images of religious Tsam dance performed in monasteries in Ulaanbaatar and in Manzushir monastery in Tuv province.                                                          View images from this file (76)                                    ","EAP264/1/9/7","76 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_9_7/1.jp2/full/!600,300/0/default.jpg"
"79","""Images of scientific staff of the Mongolian Academy of sciences, their research and study activities and field study trips [1930s-1950s]""","        Images of scientific staff of the Mongolian Academy of sciences, their research and study activities and field study trips.                                                          View images from this file (211)                                    ","EAP264/1/10/1","211 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_1/1.jp2/full/!600,300/0/default.jpg"
"80","Images of sports activities taking place in Ulaanbaatar [1930s-1950s]","        Images of sports activities taking place in Ulaanbaatar.                                                          View images from this file (35)                                    ","EAP264/1/10/2","35 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_2/1.jp2/full/!600,300/0/default.jpg"
"81","""Images related to public health service, hospitals, patients as well as emergency service. Pictures are taken in Ulaanbaatar [1930s-1950s]""","        Images related to public health service, hospitals, patients as well as emergency service. Pictures are taken in Ulaanbaatar.                                                          View images from this file (101)                                    ","EAP264/1/10/3","101 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_3/1.jp2/full/!600,300/0/default.jpg"
"82","""Images related to elementary and secondary school activities and their students, Enlightenment Ministry staff and public alphabet learning activities. Most of the pictures were taken in Ulaanbaatar...","        Images related to elementary and secondary school activities and their students, Enlightenment Ministry staff and public alphabet learning activities. Most of the pictures were taken in Ulaanbaatar.                                                          View images from this file (62)                                    ","EAP264/1/10/4","62 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_4/1.jp2/full/!600,300/0/default.jpg"
"83","agricultural and animal husbandry field research and study as well as poultry farming activities [1930s-1950s]","        agricultural and animal husbandry field research and study as well as poultry farming activities.                                                          View images from this file (90)                                    ","EAP264/1/10/5","90 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_5/1.jp2/full/!600,300/0/default.jpg"
"84","Paleontological study and field trips. Historical monuments. Staff members from the Paleontology and archeology sectors at the Academy of Sciences [1930s-1950s]","        Paleontological study and field trips. Historical monuments. Staff members from the Paleontology and archeology sectors at the Academy of Sciences.                                                          View images from this file (31)                                    ","EAP264/1/10/6","31 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_6/1.jp2/full/!600,300/0/default.jpg"
"85","""Activities and students of higher educational institutions such as the Mongolian National University, Pedagogical Institute, Party Institute and some specialized technical training schools in Ulaanba...","        Activities and students of higher educational institutions such as the Mongolian National University, Pedagogical Institute, Party Institute and some specialized technical training schools in Ulaanbaatar.                                                          View images from this file (74)                                    ","EAP264/1/10/7","74 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_7/1.jp2/full/!600,300/0/default.jpg"
"86","Kindergarten activities. Children at day care centres in Ulaanbaatar [1930s-1950s]","        Kindergarten activities. Children at day care centres in Ulaanbaatar.                                                          View images from this file (65)                                    ","EAP264/1/10/8","65 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_8/1.jp2/full/!600,300/0/default.jpg"
"87","Animal veterinary services and study [1930s-1950s]","        Animal veterinary services and study.                                                          View images from this file (56)                                    ","EAP264/1/10/9","56 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_9/1.jp2/full/!600,300/0/default.jpg"
"88","Meteorology study and services [1930s-1950s]","        Meteorology study and services.                                                          View images from this file (40)                                    ","EAP264/1/10/10","40 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_10_10/1.jp2/full/!600,300/0/default.jpg"
"89","Images of transport in Mongolia","        Traditional animal-drawn cart transport means, auto transport development, railway development, air transport, public transport service and water transport service.                                                          View images from this file (202)                                    ","EAP264/1/11/1","202 TIFF images","Photograph","File","1930s-1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_11_1/1.jp2/full/!600,300/0/default.jpg"
"90","Images of Ulaanbaatar [1930s]","        Images of Ulaanbaatar in 1930s.                                                          View images from this file (257)                                    ","EAP264/1/12/1","257 TIFF images","Photograph","File","1930s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_12_1/1.jp2/full/!600,300/0/default.jpg"
"91","Images of Ulaanbaatar [1940s]","        Images of Ulaanbaatar in 1940s.                                                          View images from this file (385)                                    ","EAP264/1/12/2","383 TIFF images","Photograph","File","1940s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_12_2/1.jp2/full/!600,300/0/default.jpg"
"92","Images of Ulaanbaatar [1950s]","        Images of Ulaanbaatar in 1950s.                                                          View images from this file (153)                                    ","EAP264/1/12/3","153 TIFF images","Photograph","File","1950s","Access is for research purposes only.","https://images.eap.bl.uk/EAP264/EAP264_1_12_3/1.jp2/full/!600,300/0/default.jpg"
