"","Page Title","Description","Reference","Extent","Content type","Level","Languages","Creation date","Legal","ImgSrc"
"61","Studio Portrait Negatives Box 25 [1959-1978]","        This file contains 36 studio portraits from box 25 of the Vasen Studio archive.                                                          View images from this file (36)                                    ","EAP737/4/4/25","36 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_25/1.jp2/full/!600,300/0/default.jpg"
"62","Studio Portrait Negatives Box 27 [20th century]","        This file contains 1 studio portrait from box 27 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/4/26","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_26/11.jp2/full/!600,300/0/default.jpg"
"63","Studio Portrait Negatives Box 28 [1951-1955]","        This file contains 29 studio portraits from box 28 of the archive of Vasen Studio. All are glass plate negatives.                                                          View images from this file (29)                                    ","EAP737/4/4/27","29 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_27/1.jp2/full/!600,300/0/default.jpg"
"64","Studio Portrait Negatives Box 29 [1955-1974]","        This file contains 9 studio portraits from box 29 of the archive of Vasen Studio.                                                          View images from this file (9)                                    ","EAP737/4/4/28","9 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_28/1.jp2/full/!600,300/0/default.jpg"
"65","Studio Portrait Negatives Box 30 [1962-1995]","        This file contains 13 studio portraits from box 30 of the archive of Vasen Studio. All are glass plate negatives.                                                          View images from this file (13)                                    ","EAP737/4/4/29","13 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_29/3.jp2/full/!600,300/0/default.jpg"
"66","Studio Portrait Negatives Box 31 [1950-1952]","        This file contains 1 studio portrait on a glass plate negative from box 31 of the Vasen Studio Archive.                                                          View images from this file (1)                                    ","EAP737/4/4/30","1 TIFF image","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_30/1.jp2/full/!600,300/0/default.jpg"
"67","Studio Portrait Photo Prints [1955-1978]","        This file contains 24 Studio Portrait photographic prints from of the Vasen Studio archive.                                                          View images from this file (24)                                    ","EAP737/4/4/31","24 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_4_31/2.jp2/full/!600,300/0/default.jpg"
"68","Advertisements [20th century]","        7 glass plates of advertissements.                                                          View images from this file (7)                                    ","EAP737/4/5/1","7 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_5_1/1.jp2/full/!600,300/0/default.jpg"
"69","Cinema ephemera [20th century]","        2 glass-plate copies of cinema actresses and 13 glass mounted colour slides of film posters.                                                          View images from this file (15)                                    ","EAP737/4/6/1","15 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_4_6_1/1.jp2/full/!600,300/0/default.jpg"
"70","Coimbatore studios [20th century]","        This file contains 7 images from 5 Coimbatore studios.                                                          View images from this file (7)                                    ","EAP737/5/1","7 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_5_1/1.jp2/full/!600,300/0/default.jpg"
"71","Karaikudi Studios [20th century]","        This series contains 16 images from 6 Karaikudi studios.                                                          View images from this file (16)                                    ","EAP737/5/2","16 TIFF images","NA","File","NA","2015","Access is for research purposes only.","https://images.eap.bl.uk/EAP737/EAP737_5_2/1.jp2/full/!600,300/0/default.jpg"
